co,a,i,u,e,o
,あ,い,う,え,お
b,ば,び,ぶ,べ,ぼ
by,びゃ,,びゅ,びぇ,びょ
ch,ちゃ,ち,ちゅ,ちぇ,ちょ
d,だ,でぃ,どぅ,で,ど
dw,どぁ,どぃ,どぅ,どぇ,
dy,でゃ,,でゅ,,でょ
f,ふぁ,ふぃ,,ふぇ,ふぉ
fy,ふゃ,,,,ふょ
g,が,ぎ,ぐ,げ,ご
gw,ぐぁ,ぐぃ,げゅ,ぐぇ,ぐぉ
gy,ぎゃ,,ぎゅ,ぎぇ,ぎょ
h,は,ひ,ふ,へ,ほ
hy,ひゃ,,ひゅ,ひぇ,ひょ
j,じゃ,じ,じゅ,じぇ,じょ
jh,,ぢ,ぢゅ,,
k,か,き,く,け,こ
ky,きゃ,,きゅ,きぇ,きょ
m,ま,み,む,め,も
my,みゃ,,みゅ,みぇ,みょ
n,な,に,ぬ,ね,の
ny,にゃ,,にゅ,にぇ,にょ
p,ぱ,ぴ,ぷ,ぺ,ぽ
py,ぴゃ,,ぴゅ,ぴぇ,ぴょ
q,くぁ,くぃ,,くぇ,くぉ
qy,くゃ,,くゅ,,くょ
r,ら,り,る,れ,ろ
ry,りゃ,,りゅ,りぇ,りょ
s,さ,すぃ,す,せ,そ
sh,しゃ,し,しゅ,しぇ,しょ
t,た,,とぅ,て,と
th,てゃ,てぃ,てゅ,,てょ
ts,つぁ,つぃ,つ,つぇ,つぉ
tw,とぁ,とぃ,,とぇ,
v,ゔぁ,ゔぃ,ゔ,ゔぇ,ゔぉ
vy,ゔゃ,,,,ゔょ
w,わ,うぃ,,うぇ,うぉ
wh,うぁ,,,,を
y,や,,ゆ,いぇ,よ
z,ざ,ずぃ,ず,ぜ,ぞ
zh,ぢゃ,,づ,ぢぇ,ぢょ
