title,bpm,measure,beat,quantize,preparation,lingering
01,60,33,4/4,16,4,0
02,65,29,4/4,16,4,2
03,70,26,4/4,8,4,5
04,75,31,8/8,16,40,4
05,81,39,6/8,16,18,15
06,85,45,4/4,16,7,6
07,95,44,4/4,16,12,2
08,160,45,4/4,16,9,9
09,172,61,4/4,8,39,41
10,163,54,8/8,8,26,18
11,134,46,4/4,16,13,8
12,110,45,4/4,8,8,4
13,150,94,3/4,8,15,6
14,120,46,4/4,16,7,9
15,155,41,4/4,8,9,8
16,160,53,4/4,8,8,8
17,90,36,4/4,24,8,6
18,100,51,4/4,16,8,34
19,165,49,4/4,8,14,13
20,66,21,4/4,16,4,8
21,130,44,4/4,24,5,9
22,118,56,4/4,8,8,12
23,250,57,4/4,8,11,12
24,161,57,4/4,8,9,12
25,157,50,4/4,8,8,10
26,80,44,4/4,16,8,10
27,152,54,4/4,8,9,12
28,158,49,4/4,24,8,8
29,285,72,4/4,8,16,8
30,137,40,4/4,8,9,14
31,87,28,4/4,16,4,5
32,167,68,4/4,8,6,3
33,72,47,4/4,16,7,10
34,60,49,4/4,8,8,16
35,143,57,4/4,8,7,14
36,133,58,4/4,8,6,9
37,117,51,4/4,8,7,8
38,150,61,4/4,12,4,21
39,119,75,4/4,8,9,20
40,98,54,4/4,16,7,22
41,160,60,4/4,8,8,20
42,166,48,4/4,8,8,17
43,112,52,4/4,8,12,16
44,150,65,4/4,8,7,24
45,132,60,4/4,8,8,16
46,200,62,4/4,16,8,20
47,135,56,4/4,16,4,14
48,140,58,4/4,16,4,20
49,125,58,4/4,8,7,9
50,93,61,4/4,16,7,17
51,120,102,4/4,4,8,18
