# packages in environment at C:\Users\akiak\miniconda3\envs\auto-music-transcription:
#
# Name                           Version                Build                  Channel
_openmp_mutex                    4.5                    2_gnu                  conda-forge
_python_abi3_support             1.0                    hd8ed1ab_2             conda-forge
aiohappyeyeballs                 2.6.1                  pyhd8ed1ab_0           conda-forge
aiohttp                          3.13.0                 py311he1a1d09_0        conda-forge
aiosignal                        1.4.0                  pyhd8ed1ab_0           conda-forge
anyio                            4.11.0                 pyhcf101f3_0           conda-forge
aom                              3.9.1                  he0c23c2_0             conda-forge
argon2-cffi                      25.1.0                 pyhd8ed1ab_0           conda-forge
argon2-cffi-bindings             25.1.0                 py311h3485c13_1        conda-forge
arrow                            1.3.0                  pyhd8ed1ab_1           conda-forge
asttokens                        3.0.0                  pyhd8ed1ab_1           conda-forge
async-lru                        2.0.5                  pyh29332c3_0           conda-forge
attrs                            25.4.0                 pyh71513ae_0           conda-forge
audioread                        3.0.1                  py311h1ea47a8_3        conda-forge
aws-c-auth                       0.9.1                  hc6331ae_3             conda-forge
aws-c-cal                        0.9.2                  hef2a5b8_1             conda-forge
aws-c-common                     0.12.4                 hfd05255_0             conda-forge
aws-c-compression                0.3.1                  ha8a2810_6             conda-forge
aws-c-event-stream               0.5.6                  h9e52e59_3             conda-forge
aws-c-http                       0.10.4                 hffefcd8_3             conda-forge
aws-c-io                         0.22.0                 h20b9e97_1             conda-forge
aws-c-mqtt                       0.13.3                 he28f3f4_6             conda-forge
aws-c-s3                         0.8.6                  ha4cb493_5             conda-forge
aws-c-sdkutils                   0.2.4                  ha8a2810_1             conda-forge
aws-checksums                    0.2.7                  ha8a2810_2             conda-forge
aws-crt-cpp                      0.34.4                 hc2cf59f_0             conda-forge
aws-sdk-cpp                      1.11.606               h296c955_4             conda-forge
babel                            2.17.0                 pyhd8ed1ab_0           conda-forge
beautifulsoup4                   4.14.2                 pyha770c72_0           conda-forge
bleach                           6.2.0                  pyh29332c3_4           conda-forge
bleach-with-css                  6.2.0                  h82add2a_4             conda-forge
brotli                           1.1.0                  hfd05255_4             conda-forge
brotli-bin                       1.1.0                  hfd05255_4             conda-forge
brotli-python                    1.1.0                  py311h3e6a449_4        conda-forge
bzip2                            1.0.8                  h2bbff1b_6
c-ares                           1.34.5                 h2466b09_0             conda-forge
ca-certificates                  2025.11.12             h4c7d964_0             conda-forge
cached-property                  1.5.2                  hd8ed1ab_1             conda-forge
cached_property                  1.5.2                  pyha770c72_1           conda-forge
cairo                            1.18.4                 h5782bbf_0             conda-forge
certifi                          2025.11.12             pyhd8ed1ab_0           conda-forge
cffi                             2.0.0                  py311h3485c13_0        conda-forge
charset-normalizer               3.4.3                  pyhd8ed1ab_0           conda-forge
click                            8.3.1                  pyha7b4d00_1           conda-forge
colorama                         0.4.6                  pyhd8ed1ab_1           conda-forge
comm                             0.2.3                  pyhe01879c_0           conda-forge
contourpy                        1.3.3                  py311h3fd045d_2        conda-forge
cpython                          3.11.13                py311hd8ed1ab_0        conda-forge
cycler                           0.12.1                 pyhd8ed1ab_1           conda-forge
datasets                         4.1.1                  pyhcf101f3_0           conda-forge
dav1d                            1.2.1                  hcfcfb64_0             conda-forge
debugpy                          1.8.17                 py311h5dfdfe8_0        conda-forge
decorator                        5.2.1                  pyhd8ed1ab_0           conda-forge
defusedxml                       0.7.1                  pyhd8ed1ab_0           conda-forge
dill                             0.4.0                  pyhd8ed1ab_0           conda-forge
double-conversion                3.3.1                  he0c23c2_0             conda-forge
exceptiongroup                   1.3.0                  pyhd8ed1ab_0           conda-forge
executing                        2.2.1                  pyhd8ed1ab_0           conda-forge
expat                            2.7.1                  h8ddb27b_0
ffmpeg                           7.1.0                  gpl_h2585aa8_705       conda-forge
filelock                         3.20.0                 pyhd8ed1ab_0           conda-forge
font-ttf-dejavu-sans-mono        2.37                   hab24e00_0             conda-forge
font-ttf-inconsolata             3.000                  h77eed37_0             conda-forge
font-ttf-source-code-pro         2.038                  h77eed37_0             conda-forge
font-ttf-ubuntu                  0.83                   h77eed37_3             conda-forge
fontconfig                       2.15.0                 h765892d_1             conda-forge
fonts-conda-ecosystem            1                      0                      conda-forge
fonts-conda-forge                1                      0                      conda-forge
fonttools                        4.60.1                 py311h3f79411_0        conda-forge
fqdn                             1.5.1                  pyhd8ed1ab_1           conda-forge
freetype                         2.14.1                 h57928b3_0             conda-forge
fribidi                          1.0.16                 hfd05255_0             conda-forge
frozenlist                       1.7.0                  py311hdf60d3a_0        conda-forge
fsspec                           2025.9.0               pyhd8ed1ab_0           conda-forge
fugashi                          1.5.1                  pypi_0                 pypi
gdk-pixbuf                       2.42.12                hed59a49_0             conda-forge
graphite2                        1.3.14                 hac47afa_2             conda-forge
h11                              0.16.0                 pyhd8ed1ab_0           conda-forge
h2                               4.3.0                  pyhcf101f3_0           conda-forge
harfbuzz                         11.0.0                 h9e37d49_0             conda-forge
